Id,Wifi,Mushola,Ruang Lesehan,Ruang AC,Halaman Parkir,Live Music,Games,Kabel Terminal,Toilet
78,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
79,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
80,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya
81,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
82,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
83,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
84,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya
85,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
86,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
87,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
88,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
89,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
90,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
91,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
92,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
93,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
94,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya
95,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya
96,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya
97,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya
98,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya
99,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya
100,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Ya
101,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya
102,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
103,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya
104,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya
105,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
106,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
107,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya
108,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya
109,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya
110,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya
111,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya
112,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
113,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
114,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya
115,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
116,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya
117,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
118,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya
119,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya
120,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya
121,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya
122,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya
123,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya
124,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya
